orf1	gene1	type	orf2	gene2	descr	ref	evi
YNL189w	SRP1	physical	YAL054c	ACS1	two hybrid IST hits: 6	11283351	902.01.01.02.01.07,902.01.09.02
YNL189w	SRP1	physical	YAL062w	GDH3	two hybrid IST hits: 2	11283351	902.01.01.02.01.07,902.01.09.02
YNL189w	SRP1	physical	YBL001c	ECM15	two hybrid IST hits: 1	11283351	902.01.01.02.01.07,902.01.09.02
YNL189w	SRP1	physical	YBR035c	PDX3	two hybrid IST hits: 2	11283351	902.01.01.02.01.07,902.01.09.02
YNL189w	SRP1	physical	YBR072w	HSP26	two hybrid IST hits: 15	11283351	902.01.01.02.01.07,902.01.09.02
YNL189w	SRP1	physical	YBR137w	YBR137w	two hybrid IST hits: 4	11283351	902.01.01.02.01.07,902.01.09.02
YNL189w	SRP1	physical	YBR176w	ECM31	two hybrid IST hits: 11	11283351	902.01.01.02.01.07,902.01.09.02
YNL189w	SRP1	physical	YCL011c	GBP2	two hybrid IST hits: 1	11283351	902.01.01.02.01.07,902.01.09.02
YNL189w	SRP1	physical	YCL026c-a	FRM2	two hybrid IST hits: 2	11283351	902.01.01.02.01.07,902.01.09.02
YNL189w	SRP1	physical	YCL028w	RNQ1	two hybrid IST hits: 1	11283351	902.01.01.02.01.07,902.01.09.02
YNL189w	SRP1	physical	YCL040w	GLK1	two hybrid IST hits: 6	11283351	902.01.01.02.01.07,902.01.09.02
YNL189w	SRP1	physical	YCR076c	YCR076c	two hybrid IST hits: 4	11283351	902.01.01.02.01.07,902.01.09.02
YNL189w	SRP1	physical	YDL055c	PSA1	two hybrid IST hits: 1	11283351	902.01.01.02.01.07,902.01.09.02
YNL189w	SRP1	physical	YDL224c	WHI4	two hybrid IST hits: 1	11283351	902.01.01.02.01.07,902.01.09.02
YNL189w	SRP1	physical	YDL246c	YDL246c	two hybrid IST hits: 1	11283351	902.01.01.02.01.07,902.01.09.02
YNL189w	SRP1	physical	YDR044w	HEM13	two hybrid IST hits: 2	11283351	902.01.01.02.01.07,902.01.09.02
YNL189w	SRP1	physical	YDR073w	SNF11	two hybrid IST hits: 2	11283351	902.01.01.02.01.07,902.01.09.02
YNL189w	SRP1	physical	YDR100w	YDR100w	two hybrid IST hits: 4	11283351	902.01.01.02.01.07,902.01.09.02
YNL189w	SRP1	physical	YDR148c	KGD2	two hybrid IST hits: 2	11283351	902.01.01.02.01.07,902.01.09.02
YNL189w	SRP1	physical	YDR174w	HMO1	two hybrid IST hits: 13	11283351	902.01.01.02.01.07,902.01.09.02
YNL189w	SRP1	physical	YDR201w	SPC19	two hybrid IST hits: 7	11283351	902.01.01.02.01.07,902.01.09.02
YNL189w	SRP1	physical	YDR256c	CTA1	two hybrid IST hits: 1	11283351	902.01.01.02.01.07,902.01.09.02
YNL189w	SRP1	physical	YDR318w	MCM21	two hybrid IST hits: 4	11283351	902.01.01.02.01.07,902.01.09.02
YNL189w	SRP1	physical	YDR353w	TRR1	two hybrid IST hits: 2	11283351	902.01.01.02.01.07,902.01.09.02
YNL189w	SRP1	physical	YDR383c	YDR383c	two hybrid IST hits: 4	11283351	902.01.01.02.01.07,902.01.09.02
YNL189w	SRP1	physical	YDR399w	HPT1	two hybrid IST hits: 2	11283351	902.01.01.02.01.07,902.01.09.02
YNL189w	SRP1	physical	YDR428c	YDR428c	two hybrid IST hits: 1	11283351	902.01.01.02.01.07,902.01.09.02
YNL189w	SRP1	physical	YDR453c	YDR453c	two hybrid IST hits: 7	11283351	902.01.01.02.01.07,902.01.09.02
YNL189w	SRP1	physical	YDR487c	RIB3	two hybrid IST hits: 4	11283351	902.01.01.02.01.07,902.01.09.02
YNL189w	SRP1	physical	YDR510w	SMT3	two hybrid IST hits: 4	11283351	902.01.01.02.01.07,902.01.09.02
YNL189w	SRP1	physical	YDR528w	HLR1	two hybrid IST hits: 1	11283351	902.01.01.02.01.07,902.01.09.02
YNL189w	SRP1	physical	YDR533c	YDR533c	two hybrid IST hits: 3	11283351	902.01.01.02.01.07,902.01.09.02
YNL189w	SRP1	physical	YEL015w	YEL015w	two hybrid IST hits: 2	11283351	902.01.01.02.01.07,902.01.09.02
YNL189w	SRP1	physical	YEL046c	GLY1	two hybrid IST hits: 1	11283351	902.01.01.02.01.07,902.01.09.02
YNL189w	SRP1	physical	YEL066w	HPA3	two hybrid IST hits: 7	11283351	902.01.01.02.01.07,902.01.09.02
YNL189w	SRP1	physical	YER010c	YER010c	two hybrid IST hits: 2	11283351	902.01.01.02.01.07,902.01.09.02
YNL189w	SRP1	physical	YER023w	PRO3	two hybrid IST hits: 2	11283351	902.01.01.02.01.07,902.01.09.02
YNL189w	SRP1	physical	YER057c	HMF1	two hybrid IST hits: 2	11283351	902.01.01.02.01.07,902.01.09.02
YNL189w	SRP1	physical	YER095w	RAD51	two hybrid IST hits: 1	11283351	902.01.01.02.01.07,902.01.09.02
YNL189w	SRP1	physical	YER177w	BMH1	two hybrid IST hits: 1	11283351	902.01.01.02.01.07,902.01.09.02
YNL189w	SRP1	physical	YER179w	DMC1	two hybrid IST hits: 1	11283351	902.01.01.02.01.07,902.01.09.02
YNL189w	SRP1	physical	YFL010c	YFL010c	two hybrid IST hits: 4	11283351	902.01.01.02.01.07,902.01.09.02
YNL189w	SRP1	physical	YFL017c	GNA1	two hybrid IST hits: 1	11283351	902.01.01.02.01.07,902.01.09.02
YNL189w	SRP1	physical	YFL045c	SEC53	two hybrid IST hits: 1	11283351	902.01.01.02.01.07,902.01.09.02
YNL189w	SRP1	physical	YFL059w	SNZ3	two hybrid IST hits: 8	11283351	902.01.01.02.01.07,902.01.09.02
YNL189w	SRP1	physical	YFR047c	YFR047c	two hybrid IST hits: 3	11283351	902.01.01.02.01.07,902.01.09.02
YNL189w	SRP1	physical	YGL037c	PNC1	two hybrid IST hits: 5	11283351	902.01.01.02.01.07,902.01.09.02
YNL189w	SRP1	physical	YGL040c	HEM2	two hybrid IST hits: 8	11283351	902.01.01.02.01.07,902.01.09.02
YNL189w	SRP1	physical	YGL166w	CUP2	two hybrid IST hits: 5	11283351	902.01.01.02.01.07,902.01.09.02
YNL189w	SRP1	physical	YGL175c	SAE2	two hybrid IST hits: 5	11283351	902.01.01.02.01.07,902.01.09.02
YNL189w	SRP1	physical	YGL221c	NIF3	two hybrid IST hits: 14	11283351	902.01.01.02.01.07,902.01.09.02
YNL189w	SRP1	physical	YGL254w	FZF1	two hybrid IST hits: 1	11283351	902.01.01.02.01.07,902.01.09.02
YNL189w	SRP1	physical	YGR010w	YGR010w	two hybrid IST hits: 5	11283351	902.01.01.02.01.07,902.01.09.02
YNL189w	SRP1	physical	YGR024c	YGR024c	two hybrid IST hits: 3	11283351	902.01.01.02.01.07,902.01.09.02
YNL189w	SRP1	physical	YGR088w	CTT1	two hybrid IST hits: 1	11283351	902.01.01.02.01.07,902.01.09.02
YNL189w	SRP1	physical	YGR136w	LSB1	two hybrid IST hits: 4	11283351	902.01.01.02.01.07,902.01.09.02
YNL189w	SRP1	physical	YGR144w	THI4	two hybrid IST hits: 9	11283351	902.01.01.02.01.07,902.01.09.02
YNL189w	SRP1	physical	YGR155w	CYS4	two hybrid IST hits: 2	11283351	902.01.01.02.01.07,902.01.09.02
YNL189w	SRP1	physical	YGR192c	TDH3	two hybrid IST hits: 3	11283351	902.01.01.02.01.07,902.01.09.02
YNL189w	SRP1	physical	YGR249w	MGA1	two hybrid IST hits: 1	11283351	902.01.01.02.01.07,902.01.09.02
YNL189w	SRP1	physical	YGR267c	FOL2	two hybrid IST hits: 14	11283351	902.01.01.02.01.07,902.01.09.02
YNL189w	SRP1	physical	YGR280c	YGR280c	two hybrid IST hits: 1	11283351	902.01.01.02.01.07,902.01.09.02
YNL189w	SRP1	physical	YHL009c	YAP3	two hybrid IST hits: 2	11283351	902.01.01.02.01.07,902.01.09.02
YNL189w	SRP1	physical	TY4A_H	YHL009w-a	two hybrid IST hits: 1	11283351	902.01.01.02.01.07,902.01.09.02
YNL189w	SRP1	physical	YHL011c	PRS3	two hybrid IST hits: 2	11283351	902.01.01.02.01.07,902.01.09.02
YNL189w	SRP1	physical	YHL018w	YHL018w	two hybrid IST hits: 16	11283351	902.01.01.02.01.07,902.01.09.02
YNL189w	SRP1	physical	YHR018c	ARG4	two hybrid IST hits: 1	11283351	902.01.01.02.01.07,902.01.09.02
YNL189w	SRP1	physical	YHR025w	THR1	two hybrid IST hits: 3	11283351	902.01.01.02.01.07,902.01.09.02
YNL189w	SRP1	physical	YHR068w	DYS1	two hybrid IST hits: 1	11283351	902.01.01.02.01.07,902.01.09.02
YNL189w	SRP1	physical	YHR112c	YHR112c	two hybrid IST hits: 1	11283351	902.01.01.02.01.07,902.01.09.02
YNL189w	SRP1	physical	YHR216w	IMD2	two hybrid IST hits: 6	11283351	902.01.01.02.01.07,902.01.09.02
YNL189w	SRP1	physical	YIL008w	URM1	two hybrid IST hits: 1	11283351	902.01.01.02.01.07,902.01.09.02
YNL189w	SRP1	physical	YIL033c	BCY1	two hybrid IST hits: 1	11283351	902.01.01.02.01.07,902.01.09.02
YNL189w	SRP1	physical	YIL132c	CSM2	two hybrid IST hits: 1	11283351	902.01.01.02.01.07,902.01.09.02
YNL189w	SRP1	physical	YJL052w	TDH1	two hybrid IST hits: 1	11283351	902.01.01.02.01.07,902.01.09.02
YNL189w	SRP1	physical	YJL058c	YJL058c	two hybrid IST hits: 1	11283351	902.01.01.02.01.07,902.01.09.02
YNL189w	SRP1	physical	YJL199c	YJL199c	two hybrid IST hits: 1	11283351	902.01.01.02.01.07,902.01.09.02
YNL189w	SRP1	physical	YJL218w	YJL218w	two hybrid IST hits: 6	11283351	902.01.01.02.01.07,902.01.09.02
YNL189w	SRP1	physical	YJR009c	TDH2	two hybrid IST hits: 1	11283351	902.01.01.02.01.07,902.01.09.02
YNL189w	SRP1	physical	YJR010w	MET3	two hybrid IST hits: 5	11283351	902.01.01.02.01.07,902.01.09.02
YNL189w	SRP1	physical	YJR021c	REC107	two hybrid IST hits: 2	11283351	902.01.01.02.01.07,902.01.09.02
YNL189w	SRP1	physical	YJR037w	YJR037w	two hybrid IST hits: 1	11283351	902.01.01.02.01.07,902.01.09.02
YNL189w	SRP1	physical	YJR056c	YJR056c	two hybrid IST hits: 3	11283351	902.01.01.02.01.07,902.01.09.02
YNL189w	SRP1	physical	YJR133w	XPT1	two hybrid IST hits: 2	11283351	902.01.01.02.01.07,902.01.09.02
YNL189w	SRP1	physical	YJR159w	SOR1	two hybrid IST hits: 1	11283351	902.01.01.02.01.07,902.01.09.02
YNL189w	SRP1	physical	YKL023w	YKL023w	two hybrid IST hits: 2	11283351	902.01.01.02.01.07,902.01.09.02
YNL189w	SRP1	physical	YKL067w	YNK1	two hybrid IST hits: 3	11283351	902.01.01.02.01.07,902.01.09.02
YNL189w	SRP1	physical	YKL069w	YKL069w	two hybrid IST hits: 2	11283351	902.01.01.02.01.07,902.01.09.02
YNL189w	SRP1	physical	YKL103c	LAP4	two hybrid IST hits: 4	11283351	902.01.01.02.01.07,902.01.09.02
YNL189w	SRP1	physical	YKL130c	SHE2	two hybrid IST hits: 4	11283351	902.01.01.02.01.07,902.01.09.02
YNL189w	SRP1	physical	YKL135c	APL2	two hybrid IST hits: 2	11283351	902.01.01.02.01.07,902.01.09.02
YNL189w	SRP1	physical	YLR058c	SHM2	two hybrid IST hits: 1	11283351	902.01.01.02.01.07,902.01.09.02
YNL189w	SRP1	physical	YLR082c	SRL2	two hybrid IST hits: 1	11283351	902.01.01.02.01.07,902.01.09.02
YNL189w	SRP1	physical	YLR209c	PNP1	two hybrid IST hits: 5	11283351	902.01.01.02.01.07,902.01.09.02
YNL189w	SRP1	physical	YLR211c	YLR211c	two hybrid IST hits: 1	11283351	902.01.01.02.01.07,902.01.09.02
YNL189w	SRP1	physical	YLR245c	CDD1	two hybrid IST hits: 21	11283351	902.01.01.02.01.07,902.01.09.02
YNL189w	SRP1	physical	YLR284c	ECI1	two hybrid IST hits: 1	11283351	902.01.01.02.01.07,902.01.09.02
YNL189w	SRP1	physical	YLR324w	YLR324w	two hybrid IST hits: 1	11283351	902.01.01.02.01.07,902.01.09.02
YNL189w	SRP1	physical	YLR328w	YLR328w	two hybrid IST hits: 5	11283351	902.01.01.02.01.07,902.01.09.02
YNL189w	SRP1	physical	YLR345w	YLR345w	two hybrid IST hits: 1	11283351	902.01.01.02.01.07,902.01.09.02
YNL189w	SRP1	physical	YLR377c	FBP1	two hybrid IST hits: 7	11283351	902.01.01.02.01.07,902.01.09.02
YNL189w	SRP1	physical	YML042w	CAT2	two hybrid IST hits: 3	11283351	902.01.01.02.01.07,902.01.09.02
YMR239c	RNT1	physical	YMR239c	RNT1	Rnt1 could form intra- and intermolecular complex.\nN-terminal domain probably has dual function. The first function is to interact with dsRna-binding domain to form a compact protein structure (stable in the absence of the RNA). The second function is to self-intreract upon RNA binding to stabilize the ribonucleoprotein.	10648595	902.01.01.02.01.07.01
YNL189w	SRP1	physical	YNL044w	YIP3	two hybrid IST hits: 4	11283351	902.01.01.02.01.07,902.01.09.02
YNL189w	SRP1	physical	YNL047c	YNL047c	two hybrid IST hits: 1	11283351	902.01.01.02.01.07,902.01.09.02
YNL189w	SRP1	physical	YNL182c	YNL182c	two hybrid IST hits: 1	11283351	902.01.01.02.01.07,902.01.09.02
YNL189w	SRP1	physical	YNL331c	AAD14	two hybrid IST hits: 6	11283351	902.01.01.02.01.07,902.01.09.02
YNL189w	SRP1	physical	YNL333w	SNZ2	two hybrid IST hits: 2	11283351	902.01.01.02.01.07,902.01.09.02
YNL189w	SRP1	physical	YNL335w	YNL335w	two hybrid IST hits: 1	11283351	902.01.01.02.01.07,902.01.09.02
YNL189w	SRP1	physical	YNR069c	YNR069c	two hybrid IST hits: 2	11283351	902.01.01.02.01.07,902.01.09.02
YNL189w	SRP1	physical	YOL058w	ARG1	two hybrid	10688190	902.01.01.02.01.07,902.01.09.02
YNL189w	SRP1	physical	YOL082w	CVT19	two hybrid IST hits: 3	11283351	902.01.01.02.01.07,902.01.09.02
YNL189w	SRP1	physical	YOR020c	HSP10	two hybrid IST hits: 13	11283351	902.01.01.02.01.07,902.01.09.02
YNL189w	SRP1	physical	YOR098c	NUP1	coimmunoprecipitation	94321421	902.01.01.02.01.01
YNL189w	SRP1	physical	YOR136w	IDH2	two hybrid IST hits: 1	11283351	902.01.01.02.01.07,902.01.09.02
YNL189w	SRP1	physical	YOR155c	YOR155c	two hybrid IST hits: 13	11283351	902.01.01.02.01.07,902.01.09.02
YNL189w	SRP1	physical	YOR284w	YOR284w	two hybrid IST hits: 12	11283351	902.01.01.02.01.07,902.01.09.02
YNL189w	SRP1	physical	YPL049c	DIG1	two hybrid IST hits: 2	11283351	902.01.01.02.01.07,902.01.09.02
YNL189w	SRP1	physical	YPL088w	YPL088w	two hybrid IST hits: 5	11283351	902.01.01.02.01.07,902.01.09.02
YNL189w	SRP1	physical	YPL111w	CAR1	two hybrid	10688190	902.01.01.02.01.07,902.01.09.02
YNL189w	SRP1	physical	YPL111w	CAR1	two hybrid IST hits: 3	11283351	902.01.01.02.01.07,902.01.09.02
YNL189w	SRP1	physical	YPL178w	CBC2	affinity chromatography	8858145	902.01.01.02.01.02
YNL189w	SRP1	physical	YPL178w	MUD13	affinity chromatography	8858145	902.01.01.02.01.02
YNL189w	SRP1	physical	YPL214c	THI6	two hybrid	10688190	902.01.01.02.01.07,902.01.09.02
YNL189w	SRP1	physical	YPR062w	FCY1	two hybrid	10688190	902.01.01.02.01.07,902.01.09.02
YNL189w	SRP1	physical	YPR182w	SMX3	two hybrid IST hits: 2	11283351	902.01.01.02.01.07,902.01.09.02
YNL189w	SRP1	physical	YPR191w	QCR2	two hybrid IST hits: 1	11283351	902.01.01.02.01.07,902.01.09.02
YNL189w	SRP1	physical	YPR193c	HPA2	two hybrid IST hits: 6	11283351	902.01.01.02.01.07,902.01.09.02
YNL199c	GCR2	physical	YPR048w	TAH18	two hybrid	10688190	902.01.01.02.01.07,902.01.09.02
YNL201c	YNL201c	physical	YBL046w	YBL046w	two hybrid IST hits: 4	11283351	902.01.01.02.01.07,902.01.09.02
YNL201c	YNL201c	physical	YDL239c	ADY3	two hybrid IST hits: 2	11283351	902.01.01.02.01.07,902.01.09.02
YNL201c	YNL201c	physical	YDR277c	MTH1	two hybrid IST hits: 1	11283351	902.01.01.02.01.07,902.01.09.02
YNL201c	YNL201c	physical	YDR285w	ZIP1	two hybrid IST hits: 1	11283351	902.01.01.02.01.07,902.01.09.02
YNL201c	YNL201c	physical	YGL054c	ERV14	two hybrid IST hits: 1	11283351	902.01.01.02.01.07,902.01.09.02
YNL201c	YNL201c	physical	YJL058c	YJL058c	two hybrid IST hits: 1	11283351	902.01.01.02.01.07,902.01.09.02
YNL201c	YNL201c	physical	YOR047c	STD1	two hybrid	10688190	902.01.01.02.01.07,902.01.09.02
YNL201c	YNL201c	physical	YOR355w	GDS1	two hybrid	10688190	902.01.01.02.01.07,902.01.09.02
YNL201c	YNL201c	physical	YPL031c	PHO85	two hybrid	10688190	902.01.01.02.01.07,902.01.09.02
YNL201c	YNL201c	physical	YPR101w	SNT309	two hybrid IST hits: 1	11283351	902.01.01.02.01.07,902.01.09.02
YNL201c	YNL201c	physical	YPR115w	YPR115w	two hybrid	10688190	902.01.01.02.01.07,902.01.09.02
YNL202w	SPS19	physical	YMR102c	YMR102c	two hybrid IST hits: 1	11283351	902.01.01.02.01.07,902.01.09.02
YNL206c	RTT106	physical	YDR528w	HLR1	two hybrid IST hits: 1	11283351	902.01.01.02.01.07,902.01.09.02
YNL212w	VID27	physical	YHR171w	APG7	two hybrid IST hits: 1	11283351	902.01.01.02.01.07,902.01.09.02
YNL216w	RAP1	physical	YLR453c	RIF2	two hybrid IST hits: 3	11283351	902.01.01.02.01.07,902.01.09.02
YNL216w	RAP1	physical	YPL075w	GCR1	Rap1p interacts with its carboxy-terminal domain with Sir3p, Sir4p, Rif1p, Rif2p; at PGK1 and other promoters		902.01.01.02.01
YNL216w	RAP1	physical	YPL075w	GCR1	co-immunoprecipitation; coimmunoprecipitation; GCR1 is attracted to DNA through contact with RAP1	8508768	902.01.01.02.01.01
YNL218w	YNL218w	physical	YNL218w	YNL218w	two hybrid	10688190	902.01.01.02.01.07,902.01.09.02
YNL219c	ALG9	physical	YGR149w	YGR149w	two hybrid IST hits: 1	11283351	902.01.01.02.01.07,902.01.09.02
YNL220w	ADE12	physical	YEL046c	GLY1	two hybrid IST hits: 1	11283351	902.01.01.02.01.07,902.01.09.02
YNL221c	POP1	physical	YLR411w	CTR3	two hybrid IST hits: 1	11283351	902.01.01.02.01.07,902.01.09.02
YNL221c	POP1	physical	YLR435w	YLR435w	two hybrid IST hits: 1	11283351	902.01.01.02.01.07,902.01.09.02
YNL226w	YNL226w	physical	YPL211w	NIP7	two hybrid IST hits: 1	11283351	902.01.01.02.01.07,902.01.09.02
YNL228w	YNL228w	physical	YNL228w	YNL228w	two hybrid IST hits: 1	11283351	902.01.01.02.01.07,902.01.09.02
YNL230c	ELA1	physical	YLR423c	APG17	two hybrid IST hits: 1	11283351	902.01.01.02.01.07,902.01.09.02
YNL234w	YNL234w	physical	YIR038c	GTT1	two hybrid IST hits: 1	11283351	902.01.01.02.01.07,902.01.09.02
YNL234w	YNL234w	physical	YMR153w	NUP53	two hybrid IST hits: 1	11283351	902.01.01.02.01.07,902.01.09.02
YNL236w	SIN4	physical	YOL051w	GAL11	coimmunoprecipitation; coimmunpurification	9420330	902.01.01.02.01.01
YNL236w	SIN4	genetic	YOL148c	SPT20	spt20delta sin4delta mutants are synthetic lethal	9335585	902.01.01.02.02.02.01
YNL236w	SIN4	genetic	YOR153w	PDR5	a pdr5 sin4 double mutant is more sensitive to cycloheximide and clotrimazole than the single mutants; overexpression of PDR5 suppresses the drug hypersensitivity of a sin4 mutant; suppression; synthetic growth defect	10029991	902.01.01.02.02.01
YNL236w	SIN4	genetic	YOR290c	SNF2	overexpression of SNF2 suppresses weakly the Spt- phenotype of a sin4delta mutant; ovrexpression of SNF2 suppresses weakly the Spt- phenotype of a sin4delta mutant; sin4delta suppresses in a sin4delta snf2delta mutant slow growth on full media and on medi	9335585	902.01.01.02.02.01
YNL236w	SIN4	physical	YOR355w	GDS1	two hybrid	10688190	902.01.01.02.01.07,902.01.09.02
YNL236w	SIN4	genetic	YPL016w	SWI1	suppression	9335585	902.01.01.02.02.01
YNL243w	SLA2	physical	YKL068w	NUP100	two hybrid IST hits: 1	11283351	902.01.01.02.01.07,902.01.09.02
YNL243w	SLA2	physical	YNL243w	SLA2	two hybrid	9362070	902.01.01.02.01.07,902.01.09.01
YNL243w	SLA2	genetic	YOR122c	PFY1	sla2 mutants are synthetic lethal with pfy1-111		902.01.01.02.02.02.01
YNL244c	SUI1	physical	YDR128w	YDR128w	two hybrid IST hits: 1	11283351	902.01.01.02.01.07,902.01.09.02
YNL244c	SUI1	physical	YOR361c	PRT1	association of TIF34:PRT1:TIF35 was identified by a two hybrid screen;two hybrid	9362495	902.01.01.02.01.07,902.01.09.01
YNL244c	SUI1	physical	YOR361c	PRT1	Tif32p, Nip1p, Prt1p, Tif34p, Tif35p, and Tif5p copurify with His-tagged Prt1p; a small fraction (about 20%) of Sui1p in cell extracts can be found in the His-Prt1p complex;coimmunoprecipitation	9671501	902.01.01.02.01.01
YPR141c	KAR3	physical	YJR112w	NNF1	two hybrid interaction between coiled-coil motifs (84­384, 113­187)	11087867	902.01.01.02.01.07,902.01.09.02
YPR141c	KAR3	physical	YJR112w	NNF1	two hybrid interaction between coiled-coil motifs (84­384, 59­187)	11087867	902.01.01.02.01.07,902.01.09.02
YPL155c	KIP2	physical	YPL155c	KIP2	two hybrid interaction between coiled-coil motifs (495­702, 495­702)	11087867	902.01.01.02.01.07,902.01.09.02
YPL018w	CTF19	physical	YJR076c	CDC11	two hybrid interaction between coiled-coil motifs (27­100, 348­414)	11087867	902.01.01.02.01.07,902.01.09.02
YNL252c	MRPL17	physical	YIR027c	DAL1	two hybrid IST hits: 1	11283351	902.01.01.02.01.07,902.01.09.02
YNL252c	MRPL17	physical	YOR344c	TYE7	two hybrid IST hits: 1	11283351	902.01.01.02.01.07,902.01.09.02
YNL258c	YNL258c	physical	YBL052c	SAS3	two hybrid IST hits: 1	11283351	902.01.01.02.01.07,902.01.09.02
YNL258c	YNL258c	physical	YFL021w	GAT1	two hybrid IST hits: 1	11283351	902.01.01.02.01.07,902.01.09.02
YNL258c	YNL258c	physical	YGL145w	TIP20	two hybrid IST hits: 3	11283351	902.01.01.02.01.07,902.01.09.02
YNL258c	YNL258c	physical	YHR056c	RSC30	two hybrid IST hits: 1	11283351	902.01.01.02.01.07,902.01.09.02
YNL258c	YNL258c	physical	YKR022c	YKR022c	two hybrid IST hits: 3	11283351	902.01.01.02.01.07,902.01.09.02
YNL258c	YNL258c	physical	YLR440c	YLR440c	two hybrid IST hits: 15	11283351	902.01.01.02.01.07,902.01.09.02
YNL258c	YNL258c	physical	YLR457c	NBP1	two hybrid IST hits: 2	11283351	902.01.01.02.01.07,902.01.09.02
YNL260c	YNL260c	physical	YHR168w	YHR168w	two hybrid IST hits: 1	11283351	902.01.01.02.01.07,902.01.09.02
YNL260c	YNL260c	physical	YMR322c	YMR322c	two hybrid IST hits: 1	11283351	902.01.01.02.01.07,902.01.09.02
YNL261w	ORC5	genetic	YPR019w	CDC54	synthetic lethal	7579692	902.01.01.02.02.02.01
YNL263c	YIF1	physical	YGR172c	YIP1	two hybrid IST hits: 3	11283351	902.01.01.02.01.07,902.01.09.02
YNL263c	YIF1	physical	YNL044w	YIP3	two hybrid IST hits: 4	11283351	902.01.01.02.01.07,902.01.09.02
YNL263c	YIF1	physical	YPR028w	YIP2	two hybrid IST hits: 1	11283351	902.01.01.02.01.07,902.01.09.02
YNL271c	BNI1	genetic	YBL051c	PIN4	Synthetic Genetic Array: inviable double mutant, synthetic lethal	11743205	902.01.01.02.02.02.01,902.01.09.02
YNL271c	BNI1	genetic	YAL020c	ATS1	Synthetic Genetic Array: inviable double mutant, synthetic lethal	11743205	902.01.01.02.02.02.01,902.01.09.02
YNL271c	BNI1	genetic	YAL026c	DRS2	Synthetic Genetic Array: inviable double mutant, synthetic lethal	11743205	902.01.01.02.02.02.01,902.01.09.02
YNL271c	BNI1	genetic	YBL007c	SLA1	Synthetic Genetic Array: inviable double mutant, synthetic lethal	11743205	902.01.01.02.02.02.01,902.01.09.02
YNL271c	BNI1	genetic	YBL061c	SKT5	Synthetic Genetic Array: inviable double mutant, synthetic lethal	11743205	902.01.01.02.02.02.01,902.01.09.02
YNL271c	BNI1	genetic	YBL062w	YBL062w	Synthetic Genetic Array: inviable double mutant, synthetic lethal	11743205	902.01.01.02.02.02.01,902.01.09.02
YNL271c	BNI1	genetic	YBR023c	CHS3	Synthetic Genetic Array: inviable double mutant, synthetic lethal	11743205	902.01.01.02.02.02.01,902.01.09.02
YNL271c	BNI1	genetic	YBR200w	BEM1	Synthetic Genetic Array: inviable double mutant, synthetic lethal	11743205	902.01.01.02.02.02.01,902.01.09.02
YNL271c	BNI1	genetic	YDL117w	CYK3	Synthetic Genetic Array: inviable double mutant, synthetic lethal	11743205	902.01.01.02.02.02.01,902.01.09.02
YNL271c	BNI1	genetic	YDL225w	SHS1	Synthetic Genetic Array: inviable double mutant, synthetic lethal	11743205	902.01.01.02.02.02.01,902.01.09.02
YNL271c	BNI1	genetic	YDR149c	YDR149c	Synthetic Genetic Array: inviable double mutant, synthetic lethal	11743205	902.01.01.02.02.02.01,902.01.09.02
YNL271c	BNI1	genetic	YDR150w	NUM1	Synthetic Genetic Array: inviable double mutant, synthetic lethal	11743205	902.01.01.02.02.02.01,902.01.09.02
YNL271c	BNI1	genetic	YDR162c	NBP2	Synthetic Genetic Array: inviable double mutant, synthetic lethal	11743205	902.01.01.02.02.02.01,902.01.09.02
YNL271c	BNI1	genetic	YDR424c	DYN2	Synthetic Genetic Array: inviable double mutant, synthetic lethal	11743205	902.01.01.02.02.02.01,902.01.09.02
YNL271c	BNI1	genetic	YDR488c	PAC11	Synthetic Genetic Array: inviable double mutant, synthetic lethal	11743205	902.01.01.02.02.02.01,902.01.09.02
YNL271c	BNI1	genetic	YDR507c	GIN4	Synthetic Genetic Array: inviable double mutant, synthetic lethal	11743205	902.01.01.02.02.02.01,902.01.09.02
YNL271c	BNI1	genetic	YER155c	BEM2	Synthetic Genetic Array: inviable double mutant, synthetic lethal	11743205	902.01.01.02.02.02.01,902.01.09.02
YNL271c	BNI1	genetic	YFR019w	FAB1	Synthetic Genetic Array: inviable double mutant, synthetic lethal	11743205	902.01.01.02.02.02.01,902.01.09.02
YNL271c	BNI1	genetic	YGR200c	ELP2	Synthetic Genetic Array: inviable double mutant, synthetic lethal	11743205	902.01.01.02.02.02.01,902.01.09.02
YNL271c	BNI1	genetic	YGR229c	SMI1	Synthetic Genetic Array: inviable double mutant, synthetic lethal	11743205	902.01.01.02.02.02.01,902.01.09.02
YNL271c	BNI1	genetic	YHR030c	SLT2	Synthetic Genetic Array: inviable double mutant, synthetic lethal	11743205	902.01.01.02.02.02.01,902.01.09.02
YNL271c	BNI1	genetic	YHR111w	YHR111w	Synthetic Genetic Array: inviable double mutant, synthetic lethal	11743205	902.01.01.02.02.02.01,902.01.09.02
YNL271c	BNI1	genetic	YHR129c	ARP1	Synthetic Genetic Array: inviable double mutant, synthetic lethal	11743205	902.01.01.02.02.02.01,902.01.09.02
YNL271c	BNI1	genetic	YHR142w	CHS7	Synthetic Genetic Array: inviable double mutant, synthetic lethal	11743205	902.01.01.02.02.02.01,902.01.09.02
